Consecutivo,Estado,Region,Municipio,Uso Suelo,Acto Juridico,Año
71,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
72,JALISCO,GUADALAJARA,ZAPOPAN,NO CONSTA,Hipoteca,2017
73,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
74,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
75,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
76,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
77,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
78,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
79,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
80,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONASL,Hipoteca,2017
81,JALISCO,GUADALAJARA,TLAJOMULCO DE ZUÑIGA,HABITACIONAL,Hipoteca,2017
82,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
83,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
84,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
85,JALISCO,GUADALAJARA,TLAJOMULCO DE ZUÑIGA,HABITACIONAL,Hipoteca,2017
86,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
87,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
88,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
89,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
90,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
91,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
92,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
